name,discount_price,price,description,discount %
"HP Envy X360 2-In-1 Laptop 16t-Ac000 - 16"" Touchscreen - Core Ultra 7 155U - 16GB Ram - 512GB SSD - Intel Graphics - Pen Included","$1,000.00","$1,100.00","Specifications: Processor: Intel® Core™ Ultra 7 155U (up to 4.8 GHz, 12 MB L3 cache, 12 cores, 14 threads).  Memory: 16 GB(Onboard) DDR4.  Storage: 512 GB PCIe® NVMe™ M.2 SSD Display: 16"" diagonal, WUXGA (1920 x 1200), multitouch-enabled, IPS, 300 nits.  Graphics: Intel® Graphics  Ports:...",-9%
"Acer Aspire 3 Spin 14 - A3SP14-31PT-38YA - 14"" Touchscreen - Core I3-N305 - 8GB Ram - 256GB SSD - Intel UHD Graphics",$425.00,$470.00,"Specifications: Processor: Intel Core™ i3-N305 - 1.80GHz - Octa-core (8 Core™).  Memory: 8GB Ram LPDDR.  Storage: 256 GB PCIe NVME M.2   Display: 14"" Touchscreen (1920 x 1200), LCD, In-plane Switching (IPS) Technology ComfyView, LED Backlight technology, 60Hz, 16:10 Graphics: Intel® UHD Graphics.  Ports: HDMI:...",-10%
"Dell XPS 13 9350 Copilot+ PC - 13.4"" - Ultra 7 256V - 16GB Ram - 512GB SSD - Intel® Arc™ Graphics","$1,299.00","$1,450.00","Specifications: Processor: Intel® Core™ Ultra 7 processor 256V Series 2 (12MB Cache, 8 cores, up to 4.8 GHz).  Memory: 16GB, LPDDR5X, 8533MT/s, integrated. Storage: 512 GB, M.2, PCIe NVMe, SSD.  Display: 13.4"", Non-Touch, FHD+ 1920x1200, 30-120Hz, Anti-Glare, 500 nit, Eyesafe®, InfinityEdge.  Graphics: Intel® Arc™...",-10%
"Lenovo ThinkPad X1 Carbon Gen 11 21HMS4VA00 - 14"" - Core I7-1355U - 16GB Ram - 1TB SSD - Intel Iris Xe","$1,299.00","$1,700.00","Specifications:  Processor: Intel® Core™ i7-1355U, 10C (2P + 8E) / 12T, P-core 1.7 / 5.0GHz, E-core 1.2 / 3.7GHz, 12MB. Memory: 16GB Soldered LPDDR5-6400.  Storage: 1TB SSD M.2 2280 PCIe® 4.0x4 NVMe® Opal 2.0  Display: 14"" WUXGA (1920x1200) IPS 400nits Anti-glare, 100% sRGB, Low...",-24%
"Samsung Galaxy Book3 NP750XFG-KB2US - 15.6"" - Core I7-1355U - 16GB Ram - 512GB SSD - Intel Iris Xe",$600.00,$700.00,"Specifications: Processor: Intel® Core™ i7-1355U Processor(1.7 GHz up to 5.0 GHz 12 MB L3 Cache). Memory: 16 GB LPDDR4x Memory (On Board 16 GB).  Storage: 512 GB NVMe SSD.  Display: 39.62cm (15.6"") FHD LED Display (1920 x 1080), Anti-Glare.   Graphics: Intel Iris Xe...",-14%
"Lenovo IdeaPad Pro 5 16IMH9 83D4001HUS - 16"" Touchscreen - Core Ultra 9 185H - 32GB Ram - 1TB SSD - RTX 4050 6GB","$1,450.00","$1,500.00","Specifications: Processor: Intel® Core™ Ultra 9 185H, 16C (6P + 8E + 2LPE) / 22T, Max Turbo up to 5.1GHz, 24MB.  Memory: 32GB soldered memory, not upgradable.    Storage: 1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®.  Display: 16"" 2K (2048x1280) OLED 400nits Glossy, 100%...",-3%
"Microsoft Surface Laptop (7th Edition) ZGP-00037 Copilot+ PC - 13.8"" TouchScreen - Qualcomm Snapdragon X Elite - 16GB Ram - 512GB SSD - Qualcomm Adreno GPU","$1,350.00","$1,650.00",Specifications: Processor: Snapdragon® X Elite (12 Core).  NPU: Qualcomm® Hexagon™ with 45 trillion operations per second.  Memory: 16GB LPDDR5x RAM.  Storage: 512GB Removable solid-state drive (Gen 4 SSD).  Display: Touchscreen: 13.8” PixelSense Flow™ Display; Resolution: 2304 x 1536 (201 PPI); Aspect ratio: 3:2; Contrast ratio 1400:1; Dynamic refresh rate...,-18%
"Microsoft Surface Laptop (7th Edition) EP2-06079 Copilot+ PC - 13.8"" TouchScreen - Snapdragon® X Plus - 16GB Ram - 1TB SSD - Qualcomm Adreno GPU","$1,250.00","$1,350.00",Specifications: Processor: Snapdragon® X Plus (10 Core).  NPU: Qualcomm® Hexagon™ with 45 trillion operations per second.  Memory: 16GB LPDDR5x RAM.  Storage: 1TB Removable solid-state drive (Gen 4 SSD).  Display: Touchscreen: 13.8” PixelSense Flow™ Display; Resolution: 2304 x 1536 (201 PPI); Aspect ratio: 3:2; Contrast ratio 1400:1; Dynamic refresh rate...,-7%
"ASUS Vivobook 16X OLED K3605VU - 16"" - Core I9-13900H - 16GB Ram - 1TB SSD - RTX 4050 6GB","$1,150.00","$1,450.00","Specifications: Processor: Intel® Core™ i9-13900H Processor 2.6 GHz (24MB Cache, up to 5.4 GHz, 14 cores, 20 Threads).  Memory: 16GB DDR4 on board.  Storage: 1TB SSD  Display: 16.0-inch, WUXGA (1920 x 1200) 16:10 aspect ratio, IPS-level Panel, LED Backlit, 120Hz refresh rate, 300nits, 100%...",-21%
"HP Pavilion Plus 16T-AB000 - 16"" - Core I7-13700H - 16GB Ram - 512GB SSD - RTX 3050 6GB",$850.00,$900.00,"Specifications: Processor: Intel® Core™ i7-13700H (up to 5.0 GHz, 24 MB L3 cache, 14 cores, 20 threads).  Memory: 16 GB(Onboard).  Storage: 512 GB PCIe® NVMe™ TLC M.2 SSD (4x4 SSD).  Display: 16"" diagonal, WQXGA (2560 x 1600), 48-120 Hz, IPS, micro-edge, anti-glare, Low Blue...",-6%
